,name,start_pos,end_pos,tag,score
207,Ralph,24012,24017,PERSON,1
208,several days,24088,24100,DATE,1
209,Gerald,24163,24169,PERSON,1
210,Thomson,24453,24460,PERSON,1
211,"Nothing,”Thomson",24790,24806,ORG,1
212,Scorpion,24917,24925,ORG,1
213,Geraldine,25074,25083,PERSON,1
214,Moreton,25098,25105,PERSON,1
215,"right,”he",25172,25181,PERSON,1
216,Berkeley,25399,25407,ORG,1
217,Thomson,25447,25454,ORG,1
218,you?”he,25534,25541,ORG,1
219,Conyers,25550,25557,GPE,1
220,half,25575,25579,CARDINAL,1
221,"interrupted,“only",25685,25702,PERSON,1
222,two,25767,25770,CARDINAL,1
223,Gerry,25783,25788,PERSON,1
224,"sorry,”he",25867,25876,PERSON,1
225,this afternoon,25944,25958,TIME,1
226,London,26003,26009,GPE,1
227,Sober old stick,26388,26403,WORK_OF_ART,1
228,"Thomson,”her",26405,26417,GPE,1
229,Gerry,26637,26642,PERSON,1
230,Thomson,26672,26679,ORG,1
231,"see,”Ralph Conyers",26714,26732,ORG,1
232,Gerry,26778,26783,PERSON,1
233,Geraldine,26873,26882,PERSON,1
234,one,27001,27004,CARDINAL,1
235,Square,27146,27152,FAC,1
236,Olive,27171,27176,PERSON,1
237,Ralph,27219,27224,PERSON,1
238,Conyers,27263,27270,ORG,1
239,Admiralty,27316,27325,ORG,1
240,"be,”he",27567,27573,PERSON,1
241,a moment,27804,27812,TIME,1
242,two,27816,27819,CARDINAL,1
243,Thomson,28210,28217,PERSON,1
244,Geraldine,28260,28269,PERSON,1
245,Geraldine,28486,28495,PERSON,1
246,Square,28629,28635,FAC,1
247,a few moments,28664,28677,TIME,1
248,Thomson,28973,28980,PERSON,1
249,a few minutes,29051,29064,TIME,1
250,Geraldine,29083,29092,PERSON,1
251,Adelphi Terrace,29168,29183,ORG,1
252,two,29224,29227,CARDINAL,1
253,Three,29525,29530,CARDINAL,1
254,Ordnance,29658,29666,ORG,1
255,French,29678,29684,NORP,1
256,Belgian,29689,29696,NORP,1
257,Thomson,29864,29871,ORG,1
258,Ambrose,30040,30047,PERSON,1
259,the War Office,30095,30109,ORG,1
260,Thomson,30139,30146,ORG,1
261,one,30269,30272,CARDINAL,1
262,Belgian,30451,30458,NORP,1
263,about eight hours,30468,30485,TIME,1
264,Fifty thousand,30495,30509,CARDINAL,1
265,La Guir,30568,30575,GPE,1
266,London,30656,30662,GPE,1
267,ten minutes,30680,30691,TIME,1
268,Thomson,30692,30699,PERSON,1
269,La Guir,30849,30856,PERSON,1
270,Smith,30894,30899,PERSON,1
271,London,30903,30909,GPE,1
272,Thomson,30976,30983,ORG,1
273,first,31023,31028,ORDINAL,1
274,several minutes,31283,31298,TIME,1
275,Thames,31323,31329,GPE,1
276,"La Guir,”he",31369,31380,ORG,1
277,London,31437,31443,GPE,1
278,two,31454,31457,CARDINAL,1
279,Ambrose,31515,31522,PERSON,1
280,Boulogne,31597,31605,GPE,1
281,Channel,31618,31625,NORP,1
282,Dover Station,31635,31648,FAC,1
283,Charing-Cross,31657,31670,ORG,1
284,Scotland Yard,31710,31723,ORG,1
285,London,31744,31750,GPE,1
286,Thomson,31757,31764,ORG,1
287,"Ambrose,”he",31886,31897,PERSON,1
288,Only a few weeks,32006,32022,DATE,1
289,French,32080,32086,NORP,1
290,four or five,32097,32109,CARDINAL,1
291,twenty,32129,32135,CARDINAL,1
292,French,32214,32220,NORP,1
293,Ambrose,32357,32364,PERSON,1
294,one,32485,32488,CARDINAL,1
295,Ambrose,32863,32870,PERSON,1
296,two,33016,33019,CARDINAL,1
297,Cabinet,33027,33034,ORG,1
298,"me,”Major Thomson",33297,33314,PERSON,1
299,the War Office,33474,33488,ORG,1
300,a week,33533,33539,DATE,1
301,Germany,33756,33763,GPE,1
302,English,33853,33860,NORP,1
303,Ambrose,33914,33921,PERSON,1
304,Thomson,34005,34012,PERSON,1
305,Berlin,34426,34432,GPE,1
306,six weeks ago,34433,34446,DATE,1
307,Ambrose,34448,34455,PERSON,1
308,"nothing,”Ambrose",34555,34571,PERSON,1
309,Thomson,34621,34628,PERSON,1
310,"not,”he",34720,34727,ORG,1
311,Ambrose,34778,34785,PERSON,1
312,Ambrose,35020,35027,PERSON,1
313,Boulogne,35062,35070,GPE,1
314,any hour,35074,35082,TIME,1
315,Thomson,35085,35092,ORG,1
316,one,35103,35106,CARDINAL,1
317,a quarter of an hour,35179,35199,QUANTITY,1
318,one,35402,35405,CARDINAL,1
319,two,35409,35412,CARDINAL,1
320,the Tottenham Court Road,35423,35447,FAC,1
321,Whitehall,35567,35576,ORG,1
322,later in the evening,35603,35623,TIME,1
323,Lord Romsey,35895,35906,PERSON,1
324,an hour,35940,35947,TIME,1
325,Whitehall,35977,35986,GPE,1
326,two,35996,35999,CARDINAL,1
327,Portland Square,36088,36103,GPE,1
328,"sir,”he",36263,36270,PERSON,1
329,Sidney,36294,36300,PERSON,1
330,Horatio Sidney,36316,36330,PERSON,1
331,Romsey,36356,36362,PERSON,1
332,"Ainsley,”he",36536,36547,ORG,1
333,England,36622,36629,GPE,1
334,Cabinet,36757,36764,ORG,1
335,quarter of an hour,36951,36969,TIME,1
336,"cupboard,”he",37034,37046,PERSON,1
337,Sidney,37284,37290,PERSON,1
338,"sir,”he",37292,37299,PERSON,1
339,Cabinet,37323,37330,ORG,1
340,"desire,”he",37624,37634,PERSON,1
341,Sidney,37866,37872,PERSON,1
342,"Sir,”he",38083,38090,PERSON,1
343,Romsey,38266,38272,PERSON,1
344,"course,”he",38388,38398,DATE,1
345,first,38443,38448,ORDINAL,1
346,Romsey,38741,38747,PERSON,1
347,you?”he,38812,38819,ORG,1
348,Romsey,38930,38936,PERSON,1
349,England,39028,39035,GPE,1
350,second,39106,39112,ORDINAL,1
351,American,39428,39436,NORP,1
352,three years,39467,39478,DATE,1
353,American,39491,39499,NORP,1
354,Brussels,39512,39520,GPE,1
355,Romsey,39571,39577,PERSON,1
356,Romsey,39738,39744,PERSON,1
357,Sidney,40097,40103,PERSON,1
358,"foolish,”he",40175,40186,PERSON,1
359,June second,40246,40257,DATE,1
360,"it,”Lord Romsey",40360,40375,PERSON,1
361,Times,40492,40497,ORG,1
362,morrow,40501,40507,DATE,1
363,morning,40508,40515,TIME,1
364,Germany,40756,40763,GPE,1
365,Cabinet,40901,40908,ORG,1
366,Sidney,41235,41241,PERSON,1
367,Germany,41335,41342,GPE,1
368,"protested,“that Germany",41378,41401,PERSON,1
369,Germany,41658,41665,GPE,1
370,French,41686,41692,NORP,1
371,England,41776,41783,GPE,1
372,Germany,41788,41795,GPE,1
373,Romsey,41803,41809,PERSON,1
374,"mistaken,”he",41950,41962,PERSON,1
375,Germany,42096,42103,GPE,1
376,Sidney,42307,42313,PERSON,1
377,Kaiser,42449,42455,PERSON,1
378,the English Press,42461,42478,ORG,1
379,Romsey,42486,42492,PERSON,1
380,the last few months,43005,43024,DATE,1
381,Germany,43224,43231,GPE,1
382,Romsey,43477,43483,PERSON,1
383,Kaiser,43792,43798,PERSON,1
384,Germany,43896,43903,GPE,1
385,first,44028,44033,ORDINAL,1
386,Washington,44072,44082,GPE,1
387,"me,”he",44233,44239,PERSON,1
388,the North Sea,44279,44292,LOC,1
389,Sidney,44299,44305,PERSON,1
390,"think,”he",44327,44336,DATE,1
391,Romsey,44392,44398,PERSON,1
392,two,44500,44503,CARDINAL,1
393,one,44567,44570,CARDINAL,1
394,first,44598,44603,ORDINAL,1
395,Romsey,44747,44753,PERSON,1
396,Sidney,44793,44799,PERSON,1
397,Teuton,44859,44865,PERSON,1
398,American,44873,44881,NORP,1
399,Sidney?”he,45118,45128,PERSON,1
400,American,45237,45245,NORP,1
401,German,45251,45257,NORP,1
402,Englishman,45264,45274,NORP,1
403,Kaiser,45487,45493,PERSON,1
404,the Imperial Palace,45512,45531,FAC,1
405,Potsdam,45535,45542,GPE,1
406,between three and four o'clock on the afternoon of April the seventh,45543,45611,TIME,1
407,Kaiser,45626,45632,PERSON,1
408,Cabinet,45685,45692,ORG,1
409,one,45743,45746,CARDINAL,1
410,two,45750,45753,CARDINAL,1
411,Romsey,46033,46039,PERSON,1
412,Romsey,46239,46245,PERSON,1
413,Brussels,46275,46283,GPE,1
414,American,46291,46299,NORP,1
415,Belgium,46576,46583,GPE,1
416,taxicab?”he,46631,46642,ORG,1
417,Sidney,46695,46701,PERSON,1
418,London,46733,46739,GPE,1
419,Sidney,46976,46982,PERSON,1
420,"pardon,”he",47253,47263,DATE,1
421,seconds,47505,47512,TIME,1
422,"me,”he",47551,47557,DATE,1
423,Thomson,47575,47582,PERSON,1
424,"Quite all right,”he",47617,47636,WORK_OF_ART,1
425,fox,48243,48246,ORG,1
426,fox,48498,48501,ORG,1
427,seven,48838,48843,CARDINAL,1
428,one,48860,48863,CARDINAL,1
429,A few minutes later,48889,48908,TIME,1
430,Jarvis,49543,49549,PERSON,1
431,two,50040,50043,CARDINAL,1
432,"sir,”he",50213,50220,PERSON,1
433,Thomson,50331,50338,PERSON,1
434,Thomson,50541,50548,PERSON,1
435,Sketch,50577,50583,PERSON,1
436,"sir,”he",50806,50813,PERSON,1
437,Thomson,50861,50868,PERSON,1
438,Thomson,50926,50933,ORG,1
439,Thomson,51064,51071,PERSON,1
440,Five — ten minutes,51293,51311,TIME,1
441,"this,”he",51505,51513,TIME,1
442,one,51764,51767,CARDINAL,1
443,Thomson,51850,51857,PERSON,1
444,Jolly luncheon party,51898,51918,WORK_OF_ART,1
445,one,52082,52085,CARDINAL,1
446,Granet,52264,52270,PERSON,1
447,Thursday,52425,52433,DATE,1
448,Thomson,52446,52453,PERSON,1
449,Boulogne,52489,52497,GPE,1
450,Ypres,52573,52578,GPE,1
451,the German Intelligence Department,52611,52645,ORG,1
452,American,52775,52783,NORP,1
453,Belgium,52814,52821,GPE,1
454,Granet,52891,52897,PERSON,1
455,"have,”he",52939,52947,ORG,1
456,The last few nights,53010,53029,DATE,1
457,the hour,53138,53146,TIME,1
458,Thompson,53197,53205,PERSON,1
459,"Well,”he",53215,53223,PERSON,1
460,the Provost-Marshal,53323,53342,PERSON,1
461,only a few minutes ago,53354,53376,TIME,1
462,Front,53635,53640,ORG,1
463,two,53819,53822,CARDINAL,1
464,yesterday,53857,53866,DATE,1
465,the last hour,54124,54137,TIME,1
466,two,54141,54144,CARDINAL,1
467,Thomson,54256,54263,PERSON,1
468,first,54389,54394,ORDINAL,1
469,second,54414,54420,ORDINAL,1
470,Thomson,54594,54601,ORG,1
471,"Very likely,”he",54611,54626,WORK_OF_ART,1
472,the other day,54822,54835,DATE,1
473,Thomson,54870,54877,PERSON,1
474,"Granet speaking,”he",55014,55033,PERSON,1
475,"delighted,”he",55142,55155,PERSON,1
476,About a quarter past eight,55220,55246,DATE,1
477,Thomson,55404,55411,ORG,1
478,"coincidence,”he",55423,55438,NORP,1
479,Geraldine Conyers,55511,55528,PERSON,1
480,the afternoon,55631,55644,TIME,1
481,Admiralty,55652,55661,ORG,1
482,Thomson,55708,55715,PERSON,1
483,Granet,55780,55786,PERSON,1
484,Jove,55907,55911,ORG,1
485,Conyers,55925,55932,GPE,1
486,American,55962,55970,NORP,1
487,Admiralty,56040,56049,ORG,1
488,at least three,56149,56163,CARDINAL,1
489,four,56167,56171,CARDINAL,1
490,Thomson,56248,56255,ORG,1
491,"sorry,”he",56459,56468,PERSON,1
492,Thomson,56644,56651,ORG,1
493,"me,”he",56688,56694,DATE,1
494,Thomson,56980,56987,ORG,1
495,States,57166,57172,GPE,1
496,Yankee,57223,57229,NORP,1
497,Thomson,57247,57254,ORG,1
498,second,57483,57489,ORDINAL,1
499,half,57519,57523,CARDINAL,1
500,"world,”he",57640,57649,PERSON,1
501,fox,57921,57924,PERSON,1
502,Thomson,58062,58069,ORG,1
503,Thomson,58166,58173,ORG,1
504,Sackville Street,58202,58218,FAC,1
505,the Ritz Hotel,58257,58271,FAC,1
506,one,58422,58425,CARDINAL,1
507,Belgian,58606,58613,NORP,1
508,this afternoon,58667,58681,TIME,1
509,away?”Thomson,58691,58704,PERSON,1
510,Lady Anselman,58764,58777,PERSON,1
511,about an hour,58807,58820,TIME,1
512,Belgian,58899,58906,NORP,1
513,suppose?”Thomson,59134,59150,PERSON,1
514,Thomson,59361,59368,ORG,1
515,Lady Anselman,59549,59562,PERSON,1
516,the Isle of Wight,59726,59743,GPE,1
517,Thomson,59784,59791,PERSON,1
518,Geraldine,60038,60047,PERSON,1
519,One,60188,60191,CARDINAL,1
520,"Geraldine,”he",60290,60303,PERSON,1
521,Englishman,60475,60485,NORP,1
522,Thomson,60656,60663,PERSON,1
523,Thomson,61040,61047,ORG,1
524,one,61200,61203,CARDINAL,1
525,those few minutes,61422,61439,TIME,1
526,Geraldine,61460,61469,PERSON,1
527,Thomson,61574,61581,PERSON,1
528,one,61750,61753,CARDINAL,1
529,ten minutes early this evening,61994,62024,TIME,1
530,La Bassee,62096,62105,FAC,1
531,Geraldine,62430,62439,PERSON,1
532,"then,”he",62719,62727,PERSON,1
533,"me,”he",63170,63176,DATE,1
534,"may be,”he",63191,63201,ORG,1
535,this evening,63284,63296,TIME,1
536,"be,”he",63384,63390,PERSON,1
537,Geraldine,63703,63712,PERSON,1
538,Geraldine,64014,64023,PERSON,1
539,Thomson,64074,64081,PERSON,1
540,"her,“remains",64343,64355,PERSON,1
541,farceur?”he,64468,64479,ORG,1
542,Geraldine,64560,64569,PERSON,1
543,Hugh,64774,64778,PERSON,1
544,Thomson,64797,64804,ORG,1
545,Geraldine,64841,64850,PERSON,1
546,Seymour Conyers,64874,64889,PERSON,1
547,Admiralty,65221,65230,ORG,1
548,Ralph Conyers,65303,65316,PERSON,1
549,Thomson,65397,65404,PERSON,1
550,Germans,65904,65911,NORP,1
551,one,66354,66357,CARDINAL,1
552,"thing,”he",66358,66367,PERSON,1
553,Ralph Conyers,66783,66796,PERSON,1
554,a misty morning,66932,66947,TIME,1
555,forty,66963,66968,CARDINAL,1
556,Dick,67049,67053,PERSON,1
557,oilskins,67057,67065,PERSON,1
558,then?”Granet,67157,67169,ORG,1
559,seven,67187,67192,CARDINAL,1
560,Admiralty,67193,67202,ORG,1
561,Thomson,67510,67517,PERSON,1
562,Ralph Conyers,67536,67549,PERSON,1
563,Captain Granet,67554,67568,PERSON,1
564,Empire,67649,67655,GPE,1
565,Geraldine,67657,67666,PERSON,1
566,Mulliners,67803,67812,ORG,1
567,Thomson,67916,67923,ORG,1
568,Conyers,68007,68014,PERSON,1
569,Ralph,68137,68142,PERSON,1
570,first,68143,68148,ORDINAL,1
571,"telephone,”she",68165,68179,ORG,1
572,“The Admiralty,68185,68199,ORG,1
573,Lady Conyers,68413,68425,PERSON,1
574,Charles Hankins,68431,68446,PERSON,1
575,Thomson,68487,68494,PERSON,1
576,Geraldine,68496,68505,PERSON,1
577,Olive Moreton,68512,68525,PERSON,1
578,Captain Granet,68530,68544,PERSON,1
579,Ralph,68666,68671,PERSON,1
580,Hugh,68701,68705,PERSON,1
581,"you,”Geraldine",68724,68738,PERSON,1
582,Ralph,68749,68754,PERSON,1
583,Hugh,68811,68815,PERSON,1
584,"wait,”he",68820,68828,PERSON,1
585,Scorpion,68997,69005,PRODUCT,1
586,Wilcock,69011,69018,PERSON,1
587,this afternoon,69055,69069,TIME,1
588,two,69076,69079,CARDINAL,1
589,Granet,69114,69120,PERSON,1
590,Geraldine,69125,69134,PERSON,1
591,Thomson,69188,69195,PERSON,1
592,"Ralph,”Geraldine",69305,69321,ORG,1
593,Hugh,69428,69432,PERSON,1
594,Thomson,69735,69742,ORG,1
595,a few minutes later,69804,69823,TIME,1
596,Thomson,69855,69862,PERSON,1
597,morning,69949,69956,TIME,1
598,first,70139,70144,ORDINAL,1
599,Geraldine,70177,70186,PERSON,1
600,four,70277,70281,CARDINAL,1
601,Ralph,70395,70400,PERSON,1
602,two,70539,70542,CARDINAL,1
603,"You see,”Ralph Conyers",70597,70619,WORK_OF_ART,1
604,Boulogne,70780,70788,GPE,1
605,One moment,70871,70881,TIME,1
606,Thomson,70972,70979,PERSON,1
607,Geraldine,71074,71083,PERSON,1
608,Ralph,71113,71118,PERSON,1
609,"fellow,”he",71124,71134,PERSON,1
610,Ralph,71470,71475,PERSON,1
611,"Hugh,”he",71504,71512,PERSON,1
612,Thomson,72159,72166,PERSON,1
613,"Conyers,”he",72177,72188,PERSON,1
614,the thousand to one,72333,72352,CARDINAL,1
615,German,72400,72406,NORP,1
616,Geraldine,72493,72502,PERSON,1
617,Thomson,72513,72520,PERSON,1
618,Ralph,72647,72652,PERSON,1
619,"Thomson,”Olive",72790,72804,PERSON,1
620,Ralph,72894,72899,PERSON,1
621,Thomson,73293,73300,ORG,1
622,"sorry,”he",73440,73449,PERSON,1
623,Lady Conyers,73646,73658,PERSON,1
624,Thomson,73724,73731,ORG,1
625,the next morning,73840,73856,TIME,1
626,Geraldine,73931,73940,PERSON,1
627,"the Park particularly,”he",74312,74337,GPE,1
628,five,74382,74386,CARDINAL,1
629,Regent 's Park,74499,74513,LOC,1
630,St. James ’,74517,74528,GPE,1
631,ten days,75290,75298,DATE,1
632,One,75339,75342,CARDINAL,1
633,"idea,”he",75426,75434,NORP,1
634,"stuff,”he admitted,“know",75865,75889,PERSON,1
635,Thomson,76035,76042,PERSON,1
636,Thomson,76066,76073,PERSON,1
637,last night,76313,76323,TIME,1
638,Army,76445,76449,ORG,1
639,Navy,76458,76462,ORG,1
640,Navy,76525,76529,ORG,1
641,"Thomson myself,”she",76614,76633,PERSON,1
642,About three months,76834,76852,DATE,1
643,Granet,76863,76869,PERSON,1
644,"surgeon,”he",76981,76992,ORG,1
645,"afraid,”he",77346,77356,PERSON,1
646,thousands,77641,77650,CARDINAL,1
647,"me,”he",77661,77667,DATE,1
648,one,77814,77817,CARDINAL,1
649,the next few days,78181,78198,DATE,1
650,Thomson,78227,78234,ORG,1
651,Geraldine,78246,78255,PERSON,1
652,Granet,78289,78295,PERSON,1
653,Anne,79177,79181,PERSON,1
654,two,79287,79290,CARDINAL,1
655,Piccadilly,79808,79818,GPE,1
656,Sackville Street,79829,79845,FAC,1
657,Jarvis,79989,79995,PERSON,1
658,Granet,80014,80020,ORG,1
659,one,80086,80089,CARDINAL,1
660,half,80128,80132,CARDINAL,1
661,Jarvis,80173,80179,PERSON,1
662,locked?”he,80214,80224,PERSON,1
663,"sir,”he",80326,80333,PERSON,1
664,Granet,80391,80397,ORG,1
665,first,80436,80441,ORDINAL,1
666,Granet,80660,80666,ORG,1
667,this morning,80784,80796,TIME,1
668,a few minutes,80967,80980,TIME,1
669,last evening,81176,81188,TIME,1
670,Thomson,81205,81212,PERSON,1
671,two,81452,81455,CARDINAL,1
672,tonight,81583,81590,TIME,1
673,Jarvis,81707,81713,PERSON,1
674,a few minutes,81822,81835,TIME,1
675,Thomson,82307,82314,PERSON,1
676,second,82449,82455,ORDINAL,1
677,the War Office,82465,82479,ORG,1
678,a few minutes,82488,82501,TIME,1
679,Thomson,82663,82670,PERSON,1
680,"disappointed,”he",82809,82825,PERSON,1
681,this morning,82939,82951,TIME,1
682,three,82970,82975,CARDINAL,1
683,Thomson,83031,83038,GPE,1
